Question,Answer
What is Hosla?,Hosla is a support service for elderly citizens.
Who is the founder of Hosla?,The Founder of Hosla  is Mr.Shantanu Mukhopadhyay
How to book an appointment?,Use the Hosla chatbot or call our helpline.
What services are provided?,"We offer medication reminders, doctor appointments, and emergency support."
How can I set a medication reminder?,"Go to the 'Reminders' section and provide the medication name, time, and frequency."
Can I set an appointment with my doctor?,"Yes, use the 'Appointments' section to enter the doctor’s name, date, and time."
How do I trigger an emergency alert?,"Say ""emergency"" or press the red alert button in the app to notify caregivers."
Can Hosla speak in my native language?,"Yes, Hosla supports multiple languages and automatically detects your preferred one."
Does Hosla support voice commands?,"Yes, you can interact with Hosla using your voice for hands-free access."
How do I stop a reminder?,Simply say “stop reminder” or go to the reminder list and delete it.
Can I use Hosla offline?,"Some features work offline, but for full access, an internet connection is recommended."
Who developed Hosla?,Hosla is developed by a team of engineers and healthcare experts to support senior well-being.
Is my data safe with Hosla?,"Yes, your data is stored securely and is only used to improve your experience."
How often should I update the app?,It’s best to keep the app updated for the latest features and security improvements.
What happens if I miss a medication?,Hosla will alert you again after a short time and log the missed dose.
How do I add a new medication?,Use the medication input form in the Reminders section to add new medicine.
Can I delete a past appointment?,"Yes, you can view and delete past appointments from the 'Appointments' section."
What is the red button in the app?,The red button triggers an emergency alert to your registered emergency contacts.
How do I get help using Hosla?,Say “help” or press the help icon to see a guide on using Hosla features.
Can I change the voice of Hosla?,"Currently, voice settings are limited, but more options will be available in future updates."
Is there a way to give feedback?,"Yes, go to the Feedback section in the app and submit your comments or suggestions."
Can I add multiple medicines at once?,"Yes, the app supports adding multiple medication reminders in one session."
Will Hosla work if I change phones?,"Yes, as long as you log in with the same account, your data will be restored."
Awards/Recognition received by Hosla?,"Founder of Hosla, Mr. Shantanu Mukhopadhyay received the ""Indian Icon of the Year 2024"" - for Excellence Contribution to Senior Citizen Holistic Wellness Care Services"membership plan,
membership plan,
minimum age limit of member,,Guest,2025-07-01 19:32:53
হোসলার প্রতিষ্ঠাতা কে?,,sree,2025-07-06 20:01:47
আমার মাথাব্যথা হচ্ছে।,,Shantanu,2025-07-07 16:52:59
উচ্চ জ্বরের লক্ষণ,,Sree,2025-07-07 17:01:31
রক্তে শর্করার মাত্রা কমে গেলে কী করবেন,,Asim,2025-07-07 17:03:53
what to do when blood sugar level faults,,Asim,2025-07-07 17:04:09
জ্বরের জন্য কোন ঔষধ খাব?,,Jerry,2025-07-07 17:11:05
জ্বর কমানোর জন্য কোন ঔষধ খাবো?,,Jerry,2025-07-07 17:13:29
শরীর ব্যথার কারণ,,Jerry,2025-07-07 17:15:55
reasons for stomach pain,,Jerry,2025-07-07 17:17:07
how to deal with high blood pressure,,Jerry,2025-07-07 17:37:00
how to deal with hypertension?,,Jerry,2025-07-07 17:37:26
কিভাবে রোকটোচাপ নিয়ন্ত্রন এ আনতে পারবো,,Jerry,2025-07-07 17:41:06
কিভবে রক্তচাপ নিয়ন্ত্রন এ আনতে পারবো,,Jerry,2025-07-07 17:42:52
গীতা শ্লোক,,Shantanu,2025-07-07 18:49:56
গীতা শ্লোক,,Shantanu,2025-07-07 18:51:24
রামকৃষ্ণ কথামৃত,,Shantanu,2025-07-07 19:00:39
রামকৃষ্ণ কথামৃত,,Shantanu,2025-07-07 19:01:49
Ramayan,,Gues,2025-07-08 14:21:23
exit',,Gues,2025-07-08 14:21:51
ramayana,,Gues,2025-07-08 15:27:38
রামায়ণ কাহিনী,,Gues,2025-07-08 15:33:41
রামায়ণ মহাকাব্য,,Gues,2025-07-08 15:34:47
রামায়ণের গল্প,,Gues,2025-07-08 15:46:34
মহাভারতে শিখণ্ডি,,Gues,2025-07-08 15:47:04
শিখন্ডি মহাভারত,,Gues,2025-07-08 15:47:34
covid symptoms,,Guest,2025-07-08 16:05:43
past events,,Shantanu,2025-07-10 19:30:49
হোসলার প্রতিষ্ঠাতা কে?,,Shantanu,2025-07-11 11:51:22
কোভিড এর লক্ষণ,,Guest,2025-07-11 22:46:15
কোভিড এর লক্ষণ,,Guest,2025-07-11 22:48:40
ডায়াবেটিসের লক্ষণ,,Guest,2025-07-11 22:49:28
ডায়াবেটিস এর লক্ষণ,,Guest,2025-07-11 22:50:12
সপ্তপদী সিনেমা,,Guest,2025-07-11 23:03:06
সপ্তপদী সিনেমা,,Om,2025-07-11 23:11:58
সপ্তপদী সিনেমা,,Om,2025-07-11 23:15:32
সপ্তপদী সিনেমা,,Om,2025-07-11 23:19:02
সপ্তপদী সিনেমা,,Om,2025-07-11 23:19:27
